company,h-index,repo count,contributor count,location,country,employee,top_language
blockchain,19,67,1750,United Kingdom,,,JavaScript
shadowsocks,43,67,1193,,,,C
netdata,13,66,1803,USA,,,JavaScript
doordash,4,65,3518,"San Francisco, CA",,,Python
strapi,32,65,802,"Paris, France",,,JavaScript
bilibili,36,64,1736,"Shanghai, China",China,12281,C
xiaomi,30,64,609,China,China,33793,Java
lingochamp,15,64,2317,"Shanghai, China",China,160,Ruby
qualys,7,64,741,"Foster City, California",,,Python
solarwinds,9,63,1648,United States of America,,,Go
datawhalechina,37,63,242,,,,Jupyter Notebook
qihoo360,39,62,384,"Beijing, China",China,1000,C++
pypa,34,62,1890,,,,Python
tenable,22,61,980,United States of America,USA,1500,Python
haiwen,18,60,1068,"Beijing, China",China,50,Python
yalantis,49,59,223,"Ukraine, Dnipro",,,Swift
babel,34,59,1230,Flavortown,,,JavaScript
localstack,16,59,1862,,,,Python
wish,7,57,1402,"San Francisco, CA",USA,828,Go
meituan,13,55,827,"Beijing, China",China,100033,JavaScript
uipath,11,55,3278,,,,C#
bookingcom,9,55,2209,Amsterdam - NL,Europe,17500,Go
doximity,5,55,1051,"San Francisco, CA",,,Ruby
golang,50,55,2279,,,,Go
polymer,27,55,488,,,,TypeScript
zoom,21,54,74,"San Jose, CA",,,JavaScript
equinix,11,54,513,"Redwood City, CA",,,HCL
liveramp,10,54,507,"San Francisco, CA",,,Go
d3,45,54,319,"San Francisco, CA",,,JavaScript
postcss,38,54,789,,,,JavaScript
jekyll,29,54,779,,,,Ruby
alipay,26,53,1271,"Hangzhou, China",China,200000,Python
fortinet,9,53,93,"Sunnyvale, California",,,Python
lenovo,9,53,568,,,,Python
remitly,2,53,2532,"Seattle, WA",,,JavaScript
adevinta,4,53,626,,,,Go
gree,23,52,287,,,,JavaScript
renesas,6,52,2093,,,,C
raspberrypi,39,52,1568,"Cambridge, UK",,,C
yued-fe,11,51,274,Shanghai,China,19,JavaScript
parse-community,31,51,1003,United States of America,,,JavaScript
kakao,26,50,101,,,,Go
jquery,26,50,1039,,,,JavaScript
pixijs,26,50,1295,,,,TypeScript
sony,24,49,445,"Minato-ku, Tokyo, Japan",Other,108900,Python
locaweb,12,49,130,S?o Paulo,,,Ruby
webpack,31,49,1306,,,,JavaScript
nuxt,35,49,1882,Global,,,JavaScript
valvesoftware,40,49,952,,,,C++
zalando,41,48,977,"Berlin, Dublin, Helsinki, Dortmund, Erfurt, M?nchengladbach, Hamburg",,,Java
dianping,15,48,1068,"Shanghai, China",China,8000,Java
zomato,4,48,2855,"Gurgaon, India",,,Go
dcloudio,28,48,879,"Beijing,China",,,JavaScript
applovin,8,47,1361,"Palo Alto, CA",,,Ruby
genymobile,9,47,1282,"Paris, Lyon, San Francisco",,,C
dmlc,34,47,1760,,,,C++
yeoman,35,47,1004,,,,JavaScript
qunarcorp,16,46,96,"Beijing, China",China,8600,JavaScript
clarivate,6,46,1477,,,,Python
similarweb,6,46,1527,Tel Aviv,,,JavaScript
socketio,24,46,987,Automattic,,,JavaScript
pivotal,12,45,2151,"San Francisco, CA",USA,513,Go
godotengine,32,45,1503,Worldwide,,,C++
ctripcorp,24,44,532,"Shanghai, China",China,33730,Java
