company,h-index,repo count,contributor count,location,top_language,,h-index,repo count,contributor count,,h-index diff,repo-count diff,contributor diff
opentext,5,84,496,"Waterloo, Ontario",JavaScript,,5,83,496,,0,1,0
prisma,29,84,1136,Berlin & Worldwide,TypeScript,,33,82,801,,-4,2,335
python,37,83,2201,,Python,,37,82,2192,,0,1,9
netease,33,82,802,,JavaScript,,53,82,876,,-20,0,-74
kotlin,53,82,881,,Kotlin,,3,81,2323,,50,1,-1442
coupa,3,81,2320,"San Mateo, CA",Ruby,,39,81,2411,,-36,0,-91
laravel,67,81,2954,,PHP,,47,81,1710,,20,0,1244
denoland,40,81,2456,,TypeScript,,27,80,907,,13,1,1549
bazelbuild,47,81,1721,,Starlark,,15,80,2144,,32,1,-423
cisco,27,80,912,,C,,14,80,1423,,13,0,-511
coursera,15,80,2143,"Mountain View, CA",JavaScript,,4,80,1280,,11,0,863
ironsource,14,80,1423,Israel,JavaScript,,67,80,2938,,-53,0,-1515
veritone,4,80,1507,"575 Anton Suite 100, Costa Mesa, CA 92626",Go,,7,79,1707,,-3,1,-200
autodesk,27,79,818,"San Francisco, CA",JavaScript,,58,79,2526,,-31,0,-1708
spring-projects,58,79,2531,United States of America,Java,,27,78,818,,31,1,1713
containers,42,78,1881,Earth,Go,,53,77,1318,,-11,1,563
didi,53,77,1319,"Beijing, China",Java,,60,77,4570,,-7,0,-3251
kubernetes,60,77,4584,,Go,,42,77,1872,,18,0,2712
nutanix,11,76,892,"San Jose, CA",Go,,45,76,3209,,-34,0,-2317
semantic-org,16,76,753,New York,JavaScript,,11,76,892,,5,0,-139
box,35,75,723,"Redwood City, CA",JavaScript,,16,76,754,,19,-1,-31
doctrine,42,75,1782,Planet Earth,PHP,,35,75,722,,7,0,1060
pinterest,43,74,3196,"San Francisco, California",Java,,42,75,1600,,1,-1,1596
appian,4,74,7456,"Reston, VA",Java,,4,74,7461,,0,0,-5
hexojs,29,73,738,,JavaScript,,28,72,738,,1,1,0
rethinkdb,24,72,695,"Mountain View, CA",JavaScript,,24,72,696,,0,0,-1
openresty,54,70,411,San Francisco Bay Area,C,,54,70,408,,0,0,3
videojs,29,70,673,,JavaScript,,29,70,671,,0,0,2
kriasoft,29,70,628,,JavaScript,,29,70,629,,0,0,-1
gulpjs,22,70,449,,JavaScript,,22,70,448,,0,0,1
tusimple,10,68,2993,San Diego,Python,,10,68,2994,,0,0,-1
pytorch,56,68,2737,where the eigens are valued,Python,,56,68,2720,,0,0,17
opntec,0,68,304,Berlin,HTML,,34,68,366,,-34,0,-62
douban,31,67,550,"Beijing, China",Python,,0,68,304,,31,-1,246
blockchain,19,67,1749,United Kingdom,JavaScript,,31,67,550,,-12,0,1199
shadowsocks,43,67,1192,,C,,19,67,1750,,24,0,-558
netdata,13,66,1813,USA,JavaScript,,43,67,1193,,-30,-1,620
bilibili,36,65,1744,"Shanghai, China",C,,13,66,1803,,23,-1,-59
doordash,4,65,3552,"San Francisco, CA",Python,,4,65,3518,,0,0,34
strapi,32,65,784,"Paris, France",JavaScript,,32,65,802,,0,0,-18
xiaomi,30,64,607,China,Java,,36,64,1736,,-6,0,-1129
lingochamp,15,64,2317,"Shanghai, China",Ruby,,30,64,609,,-15,0,1708
qualys,7,64,742,"Foster City, California",Python,,15,64,2317,,-8,0,-1575
gothinkster,34,64,366,,JavaScript,,7,64,741,,27,0,-375
solarwinds,9,63,1647,United States of America,Go,,9,63,1648,,0,0,-1
datawhalechina,37,63,245,,Jupyter Notebook,,37,63,242,,0,0,3
qihoo360,39,62,384,"Beijing, China",C++,,39,62,384,,0,0,0
pypa,34,62,1903,,Python,,34,62,1890,,0,0,13
localstack,17,62,1915,,Python,,22,61,980,,-5,1,935
tenable,22,61,984,United States of America,Python,,18,60,1068,,4,1,-84
haiwen,18,60,1066,"Beijing, China",Python,,49,59,223,,-31,1,843
yalantis,49,59,223,"Ukraine, Dnipro",Swift,,34,59,1230,,15,0,-1007
babel,34,59,1229,Flavortown,JavaScript,,16,59,1862,,18,0,-633
wish,7,56,1402,"San Francisco, CA",Go,,7,57,1402,,0,-1,0
meituan,13,55,827,"Beijing, China",JavaScript,,13,55,827,,0,0,0
uipath,11,55,3274,,C#,,11,55,3278,,0,0,-4
bookingcom,9,55,2204,Amsterdam - NL,Go,,9,55,2209,,0,0,-5
doximity,5,55,1050,"San Francisco, CA",Ruby,,5,55,1051,,0,0,-1
golang,50,55,2284,,Go,,50,55,2279,,0,0,5
polymer,27,55,488,,TypeScript,,27,55,488,,0,0,0
zoom,22,54,74,"San Jose, CA",JavaScript,,21,54,74,,1,0,0
equinix,11,54,512,"Redwood City, CA",HCL,,11,54,513,,0,0,-1
liveramp,10,54,508,"San Francisco, CA",Go,,10,54,507,,0,0,1
d3,45,54,319,"San Francisco, CA",JavaScript,,45,54,319,,0,0,0
postcss,38,54,790,,JavaScript,,38,54,789,,0,0,1
jekyll,29,54,778,,Ruby,,29,54,779,,0,0,-1
fortinet,9,53,93,"Sunnyvale, California",Python,,26,53,1271,,-17,0,-1178
lenovo,9,53,567,,Python,,9,53,93,,0,0,474
remitly,2,53,2531,"Seattle, WA",JavaScript,,9,53,568,,-7,0,1963
adevinta,4,53,625,,Go,,2,53,2532,,2,0,-1907
pixijs,26,53,1339,,TypeScript,,4,53,626,,22,0,713
gree,23,52,286,,JavaScript,,23,52,287,,0,0,-1
raspberrypi,39,52,1567,"Cambridge, UK",C,,6,52,2093,,33,0,-526
yued-fe,11,51,274,Shanghai,JavaScript,,39,52,1568,,-28,-1,-1294
renesas,6,51,2093,,C,,11,51,274,,-5,0,1819
parse-community,31,51,1005,United States of America,JavaScript,,31,51,1003,,0,0,2
kakao,26,50,102,,Go,,26,50,101,,0,0,1
